Oidcpu1min ,                                    .1.3.6.1.4.1.9.2.1.57.0
Oidcpu5min ,                                    .1.3.6.1.4.1.9.2.1.58.0
OidtempInlet ,                                  .1.3.6.1.4.1.9.9.13.1.3.1.3.1
OidtempOutlet ,                                 .1.3.6.1.4.1.9.9.13.1.3.1.3.2
OidtempState ,                                  .1.3.6.1.4.1.9.9.13.1.3.1.6.1
Oidmem5minUsed ,                                .1.3.6.1.4.1.9.9.48.1.1.1.5.1
Oidmem5minFree ,                                .1.3.6.1.4.1.9.9.48.1.1.1.6.1
OidprocessorRam ,                               .1.3.6.1.4.1.9.3.6.6.0
OidlocIfInRunts ,                               .1.3.6.1.4.1.9.2.2.1.1.10
OidlocIfInGiants ,                              .1.3.6.1.4.1.9.2.2.1.1.11
OidlocIfInCRC ,                                 .1.3.6.1.4.1.9.2.2.1.1.12
OidlocIfInFrame ,                               .1.3.6.1.4.1.9.2.2.1.1.13
OidlocIfInOverrun ,                             .1.3.6.1.4.1.9.2.2.1.1.14
OidlocIfInIgnored ,                             .1.3.6.1.4.1.9.2.2.1.1.15
OidlocIfInAbort ,                               .1.3.6.1.4.1.9.2.2.1.1.16
OidlocIfResets ,                                .1.3.6.1.4.1.9.2.2.1.1.17
OidlocIfCarTrans ,                              .1.3.6.1.4.1.9.2.2.1.1.21
OidlocIfCollisions ,                            .1.3.6.1.4.1.9.2.2.1.1.25
OidlocIfInputQueueDrops ,                       .1.3.6.1.4.1.9.2.2.1.1.26
OidlocIfOutputQueueDrops ,                      .1.3.6.1.4.1.9.2.2.1.1.27
OidfrCircuitReceivedFECNs ,                     .1.3.6.1.2.1.10.32.2.1.4
OidfrCircuitReceivedBECNs ,                     .1.3.6.1.2.1.10.32.2.1.5
OidfrCircuitSentOctets ,                        .1.3.6.1.2.1.10.32.2.1.7
OidfrCircuitReceivedOctets ,                    .1.3.6.1.2.1.10.32.2.1.9
OiddialCtlPeerStatsConnectTime ,                .1.3.6.1.2.1.10.21.1.2.2.1.1
OiddialCtlPeerStatsChargedUnits ,               .1.3.6.1.2.1.10.21.1.2.2.1.2
OiddialCtlPeerStatsSuccessCalls ,               .1.3.6.1.2.1.10.21.1.2.2.1.3
OiddialCtlPeerStatsFailCalls ,                  .1.3.6.1.2.1.10.21.1.2.2.1.4
OiddialCtlPeerStatsAcceptCalls ,                .1.3.6.1.2.1.10.21.1.2.2.1.5
OiddialCtlPeerStatsRefuseCalls ,                .1.3.6.1.2.1.10.21.1.2.2.1.6
OidrttMonLatestRttOperCompletionTime ,          .1.3.6.1.4.1.9.9.42.1.2.10.1.1
OidrttMonLatestRttOperSense ,                   .1.3.6.1.4.1.9.9.42.1.2.10.1.2
OidrttMonLatestHTTPOperRTT ,                    .1.3.6.1.4.1.9.9.42.1.5.1.1.1
OidrttMonLatestHTTPOperDNSRTT ,                 .1.3.6.1.4.1.9.9.42.1.5.1.1.2
OidrttMonLatestHTTPOperTCPConnectRTT ,          .1.3.6.1.4.1.9.9.42.1.5.1.1.3
OidrttMonLatestHTTPOperTransactionRTT ,         .1.3.6.1.4.1.9.9.42.1.5.1.1.4
OidrttMonLatestHTTPOperSense ,                  .1.3.6.1.4.1.9.9.42.1.5.1.1.6
OidrttMonLatestJitterOperMOS ,                  .1.3.6.1.4.1.9.9.42.1.5.2.1.42
OidrttMonLatestJitterOperICPI ,                 .1.3.6.1.4.1.9.9.42.1.5.2.1.43
OidrttMonLatestJitterOperRTTMin ,               .1.3.6.1.4.1.9.9.42.1.5.2.1.4
